date,open,high,low,close,volume
2026-08-19 09:15:00+05:30,24152.05,24172.85,24105.75,24117.7,4173404.0
2026-08-19 09:20:00+05:30,24120.3,24120.8,24102.5,24113.7,8746669.0
2026-08-19 09:25:00+05:30,24114.45,24125.3,24098.0,24098.3,5383329.0
2026-08-19 09:30:00+05:30,24100.65,24109.15,24088.65,24089.95,4502166.0
2026-08-19 09:35:00+05:30,24090.8,24092.05,24070.15,24071.2,3799897.0
2026-08-19 09:40:00+05:30,24074.15,24081.3,24065.1,24073.7,3347280.0
2026-08-19 09:45:00+05:30,24075.75,24090.95,24071.4,24082.25,3252386.0
2026-08-19 09:50:00+05:30,24084.15,24103.75,24079.55,24103.75,3048925.0
2026-08-19 09:55:00+05:30,24105.7,24108.45,24093.6,24098.4,2810447.0
2026-08-19 10:00:00+05:30,24098.75,24105.15,24094.25,24098.55,3296743.0
2026-08-19 10:05:00+05:30,24100.65,24107.8,24093.1,24096.3,2622982.0
2026-08-19 10:10:00+05:30,24098.4,24101.75,24092.25,24093.65,2335694.0
2026-08-19 10:15:00+05:30,24094.6,24095.5,24083.05,24083.75,2757363.0
2026-08-19 10:20:00+05:30,24085.65,24086.6,24065.8,24066.1,2391338.0
2026-08-19 10:25:00+05:30,24068.05,24069.6,24063.2,24066.7,2320222.0
2026-08-19 10:30:00+05:30,24068.35,24071.25,24061.25,24063.25,2714149.0
2026-08-19 10:35:00+05:30,24064.75,24065.4,24051.15,24058.3,2578045.0
2026-08-19 10:40:00+05:30,24059.7,24063.2,24049.55,24051.75,3177697.0
2026-08-19 10:45:00+05:30,24053.8,24061.05,24042.9,24054.0,3284670.0
2026-08-19 10:50:00+05:30,24055.25,24055.25,24048.65,24051.15,2489509.0
2026-08-19 10:55:00+05:30,24052.75,24065.6,24049.65,24064.55,2257763.0
2026-08-19 11:00:00+05:30,24065.6,24068.3,24051.75,24053.65,2343791.0
2026-08-19 11:05:00+05:30,24055.9,24059.2,24044.3,24045.8,2507062.0
2026-08-19 11:10:00+05:30,24047.0,24047.6,24027.9,24043.5,3179830.0
2026-08-19 11:15:00+05:30,24045.6,24054.7,24038.4,24051.25,3201378.0
2026-08-19 11:20:00+05:30,24053.8,24060.0,24045.3,24052.95,2222663.0
2026-08-19 11:25:00+05:30,24056.6,24062.25,24048.1,24048.55,3453360.0
2026-08-19 11:30:00+05:30,24050.2,24058.35,24046.95,24056.85,2596669.0
2026-08-19 11:35:00+05:30,24059.0,24059.0,24048.5,24053.1,3485875.0
2026-08-19 11:40:00+05:30,24054.9,24054.9,24042.65,24050.4,2573877.0
2026-08-19 11:45:00+05:30,24050.35,24055.3,24046.85,24053.15,2248108.0
2026-08-19 11:50:00+05:30,24054.15,24076.5,24053.35,24072.5,3881323.0
2026-08-19 11:55:00+05:30,24074.75,24082.05,24069.6,24077.35,2525625.0
2026-08-19 12:00:00+05:30,24079.6,24082.2,24071.0,24072.75,4112623.0
2026-08-19 12:05:00+05:30,24073.9,24077.15,24058.1,24060.85,3280558.0
2026-08-19 12:10:00+05:30,24062.5,24068.55,24051.6,24055.4,3330998.0
2026-08-19 12:15:00+05:30,24056.4,24056.85,24050.25,24053.6,2699407.0
2026-08-19 12:20:00+05:30,24055.55,24063.55,24051.65,24061.35,3378835.0
2026-08-19 12:25:00+05:30,24062.35,24067.15,24055.3,24058.75,2439667.0
2026-08-19 12:30:00+05:30,24060.6,24062.95,24052.7,24054.7,1793054.0
2026-08-19 12:35:00+05:30,24056.5,24059.5,24049.05,24057.95,2114382.0
2026-08-19 12:40:00+05:30,24059.9,24061.2,24048.45,24051.15,2370416.0
2026-08-19 12:45:00+05:30,24053.45,24062.1,24048.75,24050.5,2181122.0
2026-08-19 12:50:00+05:30,24053.3,24055.45,24046.95,24055.05,1935146.0
2026-08-19 12:55:00+05:30,24055.95,24057.75,24050.25,24053.55,2309974.0
2026-08-19 13:00:00+05:30,24055.1,24057.8,24047.6,24055.05,2175548.0
2026-08-19 13:05:00+05:30,24056.05,24066.15,24053.65,24059.3,2742342.0
2026-08-19 13:10:00+05:30,24060.7,24066.0,24055.6,24058.85,3388950.0
2026-08-19 13:15:00+05:30,24059.4,24060.65,24043.9,24044.6,2662460.0
